producto|categoria|cantidad|precio|total|medio_pago|fecha_venta|ciudad|fecha_alta_cli|mes|cuatrimestre|anio_cuatrimestre
TOALLAS HÚMEDAS X50|0|1|2902|2902|1|2024-06-19|0|2023-03-03|2024-06|2|2024-C2
ACEITUNAS NEGRAS 200G|1|5|2394|11970|2|2024-03-17|1|2023-02-18|2024-03|1|2024-C1
HELADO VAINILLA 1L|1|5|469|2345|2|2024-03-17|1|2023-02-18|2024-03|1|2024-C1
FERNET 750ML|1|2|4061|8122|2|2024-03-17|1|2023-02-18|2024-03|1|2024-C1
MEDIALUNAS DE MANTECA|1|1|2069|2069|2|2024-03-17|1|2023-02-18|2024-03|1|2024-C1
HAMBURGUESAS CONGELADAS X4|1|4|2420|9680|2|2024-03-17|1|2023-02-18|2024-03|1|2024-C1
YERBA MATE SUAVE 1KG|1|2|3878|7756|1|2024-01-13|1|2023-01-20|2024-01|1|2024-C1
PEPSI 1.5L|1|2|4973|9946|1|2024-01-13|1|2023-01-20|2024-01|1|2024-C1
JUGO EN POLVO NARANJA|1|1|1856|1856|1|2024-01-13|1|2023-01-20|2024-01|1|2024-C1
FANTA NARANJA 1.5L|1|2|2033|4066|3|2024-02-27|2|2023-02-05|2024-02|1|2024-C1
BIZCOCHOS SALADOS|1|5|2380|11900|3|2024-02-27|2|2023-02-05|2024-02|1|2024-C1
JUGO EN POLVO LIMÓN|1|4|4090|16360|1|2024-06-11|1|2023-02-25|2024-06|2|2024-C2
GALLETITAS VAINILLA|1|2|4015|8030|3|2024-05-05|2|2023-04-01|2024-05|2|2024-C2
MIX DE FRUTOS SECOS 200G|1|3|3409|10227|3|2024-05-05|2|2023-04-01|2024-05|2|2024-C2
QUESO UNTABLE 190G|1|1|1830|1830|3|2024-05-05|2|2023-04-01|2024-05|2|2024-C2
CHICLE MENTA|1|4|3612|14448|3|2024-05-05|2|2023-04-01|2024-05|2|2024-C2
GRANOLA 250G|1|3|4337|13011|0|2024-05-06|3|2023-04-02|2024-05|2|2024-C2
LAVANDINA 1L|0|5|1664|8320|3|2024-01-06|4|2023-03-07|2024-01|1|2024-C1
